model,series,h,regime,n,mspe_ratio,rmae,sr,pt_p,dm_p
ar5_returns,wheat_fut,22,calm,2538,1.01,1.0067,0.487,0.52,0.837
ar5_returns,wheat_fut,22,covid,135,1.0379,1.0214,0.356,,0.883
ar5_returns,wheat_fut,22,ukraine,131,1.0098,1.0046,0.511,0.155,0.651
ar5_returns,soybean_fut,1,ALL,2804,1.0002,1.0003,0.495,0.612,0.525
ar5_returns,soybean_fut,1,calm,2538,1.003,1.0009,0.496,0.569,0.891
ar5_returns,soybean_fut,1,covid,135,1.0095,1.0082,0.444,0.872,0.875
ar5_returns,soybean_fut,1,ukraine,131,0.9912,0.9942,0.534,0.28,0.118
ar5_returns,soybean_fut,5,ALL,2804,0.9967,0.999,0.511,0.133,0.256
ar5_returns,soybean_fut,5,calm,2538,1.0032,1.0006,0.506,0.34,0.777
ar5_returns,soybean_fut,5,covid,135,0.9799,0.9933,0.585,0.013,0.129
ar5_returns,soybean_fut,5,ukraine,131,0.9763,0.9874,0.55,0.139,0.074
ar5_returns,soybean_fut,22,ALL,2804,1.0116,1.0053,0.512,0.481,0.805
ar5_returns,soybean_fut,22,calm,2538,1.0119,1.0063,0.507,0.71,0.811
ar5_returns,soybean_fut,22,covid,135,0.9933,0.9926,0.57,,0.46
ar5_returns,soybean_fut,22,ukraine,131,1.0101,0.9962,0.557,0.133,0.572
lear_lite,wti_fut,1,ALL,2805,2.0189,1.4146,0.502,0.165,1.0
lear_lite,wti_fut,1,calm,2539,1.9155,1.3233,0.503,0.163,1.0
lear_lite,wti_fut,1,covid,135,2.0743,2.2635,0.459,0.733,0.987
lear_lite,wti_fut,1,ukraine,131,2.097,1.427,0.527,0.286,1.0
lear_lite,wti_fut,5,ALL,2805,3.7139,1.1774,0.506,0.009,0.902
lear_lite,wti_fut,5,calm,2539,1.1106,1.0583,0.498,0.052,0.999
lear_lite,wti_fut,5,covid,135,12.399,2.7013,0.593,0.0,0.901
lear_lite,wti_fut,5,ukraine,131,0.9307,0.9896,0.557,0.083,0.27
lear_lite,wti_fut,22,ALL,2805,1.2741,1.0549,0.472,0.931,0.871
lear_lite,wti_fut,22,calm,2539,1.0527,1.0328,0.463,0.991,0.992
lear_lite,wti_fut,22,covid,135,2.0946,1.282,0.607,0.0,0.845
lear_lite,wti_fut,22,ukraine,131,1.0202,1.0199,0.511,0.375,0.554
lear_lite,brent_fut,1,ALL,2806,1.0273,1.0166,0.501,0.3,0.999
lear_lite,brent_fut,1,calm,2540,1.0243,1.0141,0.505,0.18,1.0
lear_lite,brent_fut,1,covid,135,1.078,1.0767,0.43,0.949,0.991
lear_lite,brent_fut,1,ukraine,131,1.0224,1.0079,0.504,0.517,0.825
lear_lite,brent_fut,5,ALL,2806,1.0228,1.0099,0.479,0.952,0.988
lear_lite,brent_fut,5,calm,2540,1.0093,1.0036,0.481,0.89,0.97
lear_lite,brent_fut,5,covid,135,1.0252,1.0329,0.511,0.317,0.772
lear_lite,brent_fut,5,ukraine,131,1.0545,1.0403,0.412,0.991,0.954
lear_lite,brent_fut,22,ALL,2806,1.023,1.0222,0.443,1.0,0.827
lear_lite,brent_fut,22,calm,2540,1.0377,1.0295,0.424,1.0,0.908
lear_lite,brent_fut,22,covid,135,0.9716,0.9576,0.741,0.0,0.233
lear_lite,brent_fut,22,ukraine,131,1.0124,1.0142,0.496,,0.557
lear_lite,natgas_fut,1,ALL,2806,1.0013,1.0025,0.511,0.066,0.567
lear_lite,natgas_fut,1,calm,2540,0.9996,1.0041,0.509,0.124,0.481
lear_lite,natgas_fut,1,covid,135,1.0012,0.9992,0.504,,0.678
lear_lite,natgas_fut,1,ukraine,131,1.0082,0.9924,0.565,0.057,0.635
lear_lite,natgas_fut,5,ALL,2806,1.0197,1.0116,0.476,0.99,0.993
lear_lite,natgas_fut,5,calm,2540,1.0168,1.0087,0.479,0.986,0.995
lear_lite,natgas_fut,5,covid,135,1.0232,1.0199,0.467,0.638,0.763
lear_lite,natgas_fut,5,ukraine,131,1.0309,1.0284,0.443,0.96,0.849
lear_lite,natgas_fut,22,ALL,2806,1.0611,1.0195,0.48,0.97,0.96
lear_lite,natgas_fut,22,calm,2540,1.0592,1.017,0.478,0.991,0.928
lear_lite,natgas_fut,22,covid,135,1.0719,1.0077,0.533,0.187,0.703
lear_lite,natgas_fut,22,ukraine,131,1.0658,1.0342,0.45,1.0,0.813
lear_lite,gold_fut,1,ALL,2804,0.9988,1.001,0.514,0.213,0.381
lear_lite,gold_fut,1,calm,2538,0.9956,0.9988,0.513,0.209,0.141
lear_lite,gold_fut,1,covid,135,1.0565,1.0307,0.459,0.996,0.998
lear_lite,gold_fut,1,ukraine,131,0.9967,0.9987,0.58,0.023,0.426
lear_lite,gold_fut,5,ALL,2804,0.9622,0.9928,0.506,0.634,0.024
lear_lite,gold_fut,5,calm,2538,0.9591,0.9922,0.508,0.52,0.024
lear_lite,gold_fut,5,covid,135,0.9939,1.0038,0.452,0.989,0.448
lear_lite,gold_fut,5,ukraine,131,0.9907,0.9868,0.527,0.077,0.439
lear_lite,gold_fut,22,ALL,2804,0.8455,0.9559,0.556,0.009,0.021
lear_lite,gold_fut,22,calm,2538,0.8344,0.9519,0.55,0.017,0.022
lear_lite,gold_fut,22,covid,135,0.9232,0.9533,0.8,,0.028
lear_lite,gold_fut,22,ukraine,131,1.0642,1.0338,0.427,,0.722
lear_lite,silver_fut,1,ALL,2804,1.0247,1.014,0.496,0.649,0.915
lear_lite,silver_fut,1,calm,2538,1.0248,1.0138,0.506,0.248,0.91
lear_lite,silver_fut,1,covid,135,1.0253,1.0251,0.393,0.992,0.813
lear_lite,silver_fut,1,ukraine,131,1.0096,1.0022,0.405,0.972,0.8
lear_lite,silver_fut,5,ALL,2804,0.9969,1.0019,0.498,0.484,0.419
lear_lite,silver_fut,5,calm,2538,0.9945,0.9998,0.499,0.421,0.36
lear_lite,silver_fut,5,covid,135,1.074,1.0249,0.496,0.006,0.911
lear_lite,silver_fut,5,ukraine,131,1.0113,1.0117,0.473,0.198,0.699
lear_lite,silver_fut,22,ALL,2804,0.9633,0.9927,0.525,0.014,0.193
lear_lite,silver_fut,22,calm,2538,0.9564,0.9862,0.541,0.0,0.169
lear_lite,silver_fut,22,covid,135,1.0577,1.0485,0.326,0.058,0.864
lear_lite,silver_fut,22,ukraine,131,1.0382,1.0187,0.405,,0.767
lear_lite,copper_fut,1,ALL,2805,1.0039,1.0018,0.489,0.769,0.918
lear_lite,copper_fut,1,calm,2539,1.0031,1.0013,0.496,0.471,0.851
lear_lite,copper_fut,1,covid,135,1.0152,1.0075,0.378,0.994,0.92
lear_lite,copper_fut,1,ukraine,131,1.0107,1.0042,0.473,0.673,0.955
lear_lite,copper_fut,5,ALL,2805,1.0029,1.0017,0.498,0.689,0.707
lear_lite,copper_fut,5,calm,2539,1.0003,1.0007,0.506,0.375,0.523
lear_lite,copper_fut,5,covid,135,1.0092,1.0076,0.385,,0.891
lear_lite,copper_fut,5,ukraine,131,1.0307,1.0111,0.466,,0.899
lear_lite,copper_fut,22,ALL,2805,1.0122,1.0027,0.504,0.462,0.707
lear_lite,copper_fut,22,calm,2539,0.9978,0.9985,0.517,0.082,0.461
lear_lite,copper_fut,22,covid,135,1.0325,1.0252,0.304,,0.779
lear_lite,copper_fut,22,ukraine,131,1.0957,1.0314,0.458,,0.886
lear_lite,platinum_fut,1,ALL,2803,1.0239,1.0108,0.491,0.632,0.984
lear_lite,platinum_fut,1,calm,2537,1.0267,1.0115,0.489,0.656,0.987
lear_lite,platinum_fut,1,covid,135,0.9857,1.0054,0.526,0.175,0.307
lear_lite,platinum_fut,1,ukraine,131,0.9976,1.0039,0.489,0.596,0.471
lear_lite,platinum_fut,5,ALL,2803,1.0118,1.0076,0.521,0.004,0.767
lear_lite,platinum_fut,5,calm,2537,1.0173,1.0103,0.519,0.004,0.835
lear_lite,platinum_fut,5,covid,135,0.9756,0.9926,0.519,0.354,0.233
lear_lite,platinum_fut,5,ukraine,131,0.9485,0.98,0.565,0.057,0.224
lear_lite,platinum_fut,22,ALL,2803,0.9995,1.0047,0.516,0.018,0.49
lear_lite,platinum_fut,22,calm,2537,1.0,1.0062,0.523,0.002,0.499
lear_lite,platinum_fut,22,covid,135,0.9933,0.9888,0.43,0.945,0.44
lear_lite,platinum_fut,22,ukraine,131,1.0007,1.002,0.466,0.905,0.53
lear_lite,corn_fut,1,ALL,2802,1.0048,1.0028,0.49,0.567,0.978
lear_lite,corn_fut,1,calm,2536,1.0046,1.0031,0.485,0.692,0.978
lear_lite,corn_fut,1,covid,135,1.0039,1.0004,0.496,0.59,0.736
lear_lite,corn_fut,1,ukraine,131,1.0053,1.001,0.565,0.553,0.757
lear_lite,corn_fut,5,ALL,2802,1.0079,1.0023,0.515,0.066,0.926
lear_lite,corn_fut,5,calm,2536,1.0086,1.0028,0.511,0.18,0.958
lear_lite,corn_fut,5,covid,135,0.9958,0.9974,0.57,,0.334
lear_lite,corn_fut,5,ukraine,131,1.0067,1.0003,0.534,,0.644
lear_lite,corn_fut,22,ALL,2802,1.0288,1.0157,0.49,0.86,0.909
lear_lite,corn_fut,22,calm,2536,1.0287,1.0183,0.48,0.985,0.941
lear_lite,corn_fut,22,covid,135,0.9727,1.0017,0.6,0.574,0.3
lear_lite,corn_fut,22,ukraine,131,1.0335,1.0025,0.573,,0.66
lear_lite,wheat_fut,1,ALL,2804,1.0052,1.0046,0.468,0.996,0.997
lear_lite,wheat_fut,1,calm,2538,1.005,1.0046,0.467,0.996,0.988
lear_lite,wheat_fut,1,covid,135,1.0008,0.9995,0.548,0.048,0.614
lear_lite,wheat_fut,1,ukraine,131,1.0057,1.0057,0.405,0.875,0.952
lear_lite,wheat_fut,5,ALL,2804,1.0074,1.0031,0.489,0.809,0.95
lear_lite,wheat_fut,5,calm,2538,1.0044,1.0022,0.487,0.834,0.915
lear_lite,wheat_fut,5,covid,135,0.999,0.9976,0.556,,0.439
lear_lite,wheat_fut,5,ukraine,131,1.0103,1.0086,0.45,0.943,0.903
lear_lite,wheat_fut,22,ALL,2804,1.0315,1.0228,0.507,0.206,0.668
lear_lite,wheat_fut,22,calm,2538,1.0107,1.0112,0.497,0.569,0.621
lear_lite,wheat_fut,22,covid,135,0.7935,0.8962,0.681,0.0,0.049
lear_lite,wheat_fut,22,ukraine,131,1.0567,1.0981,0.511,0.402,0.635
lear_lite,soybean_fut,1,ALL,2804,1.0069,1.0036,0.5,0.221,0.98
lear_lite,soybean_fut,1,calm,2538,1.0068,1.0034,0.503,0.155,0.948
lear_lite,soybean_fut,1,covid,135,1.0043,1.0027,0.489,0.493,0.706
lear_lite,soybean_fut,1,ukraine,131,1.0074,1.0054,0.45,0.928,0.911
lear_lite,soybean_fut,5,ALL,2804,1.0076,1.0027,0.49,0.769,0.916
lear_lite,soybean_fut,5,calm,2538,1.0083,1.0029,0.489,0.789,0.901
lear_lite,soybean_fut,5,covid,135,1.0105,1.0093,0.481,,0.678
lear_lite,soybean_fut,5,ukraine,131,1.005,0.9991,0.519,,0.674
lear_lite,soybean_fut,22,ALL,2804,1.0213,1.0133,0.451,1.0,0.885
lear_lite,soybean_fut,22,calm,2538,1.0225,1.0137,0.447,1.0,0.909
lear_lite,soybean_fut,22,covid,135,1.0805,1.0536,0.43,,0.648
lear_lite,soybean_fut,22,ukraine,131,1.0066,0.996,0.55,,0.535
garch_t,wti_fut,1,ALL,2805,1.0028,0.9991,0.512,0.927,0.929
garch_t,wti_fut,1,calm,2539,1.0052,0.9996,0.51,0.926,0.953
garch_t,wti_fut,1,covid,135,1.0,1.0002,0.504,,0.528
garch_t,wti_fut,1,ukraine,131,1.0054,0.9948,0.542,,0.708
garch_t,wti_fut,5,ALL,2805,1.0222,1.0059,0.522,0.589,0.954
garch_t,wti_fut,5,calm,2539,1.03,1.0043,0.523,0.567,0.966
garch_t,wti_fut,5,covid,135,1.0008,0.9992,0.563,,0.757
garch_t,wti_fut,5,ukraine,131,1.0257,1.0218,0.473,,0.713
garch_t,wti_fut,22,ALL,2805,1.1171,1.0552,0.484,1.0,0.961
garch_t,wti_fut,22,calm,2539,1.1446,1.0592,0.478,1.0,0.976
garch_t,wti_fut,22,covid,135,1.0071,1.0035,0.593,,0.763
garch_t,wti_fut,22,ukraine,131,1.1592,1.0711,0.489,,0.695
garch_t,brent_fut,1,ALL,2806,1.0048,0.9991,0.509,0.458,0.922
garch_t,brent_fut,1,calm,2540,1.0052,0.9995,0.508,0.426,0.954
garch_t,brent_fut,1,covid,135,1.0002,1.0004,0.489,0.825,0.739
garch_t,brent_fut,1,ukraine,131,1.005,0.9958,0.55,,0.693
garch_t,brent_fut,5,ALL,2806,1.0254,1.0057,0.501,0.892,0.949
garch_t,brent_fut,5,calm,2540,1.0311,1.0044,0.501,0.844,0.972
