model,series,h,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
moirai2_small,corn_fut,22,0.1604,0.05,106,0.0,0.0,0.0
garch_t,wheat_fut,1,0.0094,0.05,106,0.0196,1.0,0.0657
qr_ar,wheat_fut,1,0.0283,0.05,106,0.2659,0.7322,0.508
chronos_2,wheat_fut,1,0.0377,0.05,106,0.5455,0.6744,0.7627
chronos_2_lora,wheat_fut,1,0.0566,0.05,106,0.7598,0.4794,0.7431
chronos_2_full,wheat_fut,1,0.066,0.05,106,0.4693,0.3936,0.5349
moirai2_small,wheat_fut,1,0.0189,0.05,106,0.0938,0.8441,0.2408
garch_t,wheat_fut,5,0.0189,0.05,106,0.0938,0.7805,0.2362
qr_ar,wheat_fut,5,0.0283,0.05,106,0.2659,0.0532,0.0831
chronos_2,wheat_fut,5,0.0189,0.05,106,0.0938,0.7805,0.2362
chronos_2_lora,wheat_fut,5,0.0283,0.05,106,0.2659,0.6744,0.4931
chronos_2_full,wheat_fut,5,0.0755,0.05,106,0.2615,0.0005,0.0012
moirai2_small,wheat_fut,5,0.0094,0.05,106,0.0196,0.8897,0.0651
garch_t,wheat_fut,22,0.0,0.05,106,0.001,1.0,0.0044
qr_ar,wheat_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2,wheat_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2_lora,wheat_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2_full,wheat_fut,22,0.0,0.05,106,0.001,1.0,0.0044
moirai2_small,wheat_fut,22,0.0,0.05,106,0.001,1.0,0.0044
garch_t,soybean_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
qr_ar,soybean_fut,1,0.0377,0.05,106,0.5455,0.5735,0.7109
chronos_2,soybean_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
chronos_2_lora,soybean_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
chronos_2_full,soybean_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
moirai2_small,soybean_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
garch_t,soybean_fut,5,0.0755,0.05,106,0.2615,0.0,0.0
qr_ar,soybean_fut,5,0.0472,0.05,106,0.8927,0.0001,0.0003
chronos_2,soybean_fut,5,0.0755,0.05,106,0.2615,0.0,0.0
chronos_2_lora,soybean_fut,5,0.0755,0.05,106,0.2615,0.0,0.0
chronos_2_full,soybean_fut,5,0.066,0.05,106,0.4693,0.0,0.0
moirai2_small,soybean_fut,5,0.0566,0.05,106,0.7598,0.0,0.0
garch_t,soybean_fut,22,0.0472,0.05,106,0.8927,0.0106,0.038
qr_ar,soybean_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2,soybean_fut,22,0.1132,0.05,106,0.0098,0.0,0.0
chronos_2_lora,soybean_fut,22,0.1132,0.05,106,0.0098,0.0,0.0
chronos_2_full,soybean_fut,22,0.1226,0.05,106,0.0035,0.0,0.0
moirai2_small,soybean_fut,22,0.0094,0.05,106,0.0196,0.8897,0.0651
