model,series,h,n,mspe_ratio,rmae,dm_p
moirai2_small,copper_fut,5,106,1.0163,0.9835,0.676
ar5_returns,copper_fut,22,106,0.9626,0.9968,0.333
lear_lite,copper_fut,22,106,0.9445,0.9974,0.393
garch_t,copper_fut,22,106,0.9676,1.0153,0.46
qr_ar,copper_fut,22,106,0.9165,0.9858,0.356
chronos_bolt_small,copper_fut,22,106,1.306,1.1876,0.798
chronos_bolt_base,copper_fut,22,106,1.2638,1.1896,0.701
chronos_2,copper_fut,22,106,1.2384,1.146,
chronos_2_lora,copper_fut,22,106,1.2028,1.1357,
chronos_2_full,copper_fut,22,106,1.0544,1.0711,0.576
timesfm_25,copper_fut,22,106,1.0376,0.98,0.599
moirai2_small,copper_fut,22,106,1.0331,1.0082,0.683
ar5_returns,platinum_fut,1,106,1.0032,1.0021,0.582
lear_lite,platinum_fut,1,106,1.0449,1.0089,0.904
garch_t,platinum_fut,1,106,1.0043,1.0013,0.919
qr_ar,platinum_fut,1,106,1.0403,1.0177,0.945
chronos_bolt_small,platinum_fut,1,106,1.1739,1.1078,0.998
chronos_bolt_base,platinum_fut,1,106,1.1565,1.0584,0.985
chronos_2,platinum_fut,1,106,1.0431,1.0434,0.758
chronos_2_lora,platinum_fut,1,106,1.055,1.035,0.844
chronos_2_full,platinum_fut,1,106,1.0599,1.0746,0.708
timesfm_25,platinum_fut,1,106,1.0211,0.9696,0.696
moirai2_small,platinum_fut,1,106,1.119,1.0063,0.961
ar5_returns,platinum_fut,5,106,1.0037,1.0046,0.59
lear_lite,platinum_fut,5,106,1.0211,1.0073,0.678
garch_t,platinum_fut,5,106,1.0219,1.0095,0.915
qr_ar,platinum_fut,5,106,1.0162,1.0151,0.608
chronos_bolt_small,platinum_fut,5,106,1.1743,1.1139,0.947
chronos_bolt_base,platinum_fut,5,106,0.986,0.9928,0.361
chronos_2,platinum_fut,5,106,1.0572,1.0453,0.773
chronos_2_lora,platinum_fut,5,106,1.0805,1.055,0.892
chronos_2_full,platinum_fut,5,106,0.9352,0.9952,0.235
timesfm_25,platinum_fut,5,106,0.9879,0.9957,0.387
moirai2_small,platinum_fut,5,106,1.0386,1.0136,0.802
ar5_returns,platinum_fut,22,106,1.0652,1.0285,0.966
lear_lite,platinum_fut,22,106,1.1892,1.0954,0.999
garch_t,platinum_fut,22,106,1.1132,1.0563,0.993
qr_ar,platinum_fut,22,106,1.1009,1.0602,0.991
chronos_bolt_small,platinum_fut,22,106,1.2073,1.1138,0.994
chronos_bolt_base,platinum_fut,22,106,0.8192,0.92,0.081
chronos_2,platinum_fut,22,106,1.0708,1.0331,0.684
chronos_2_lora,platinum_fut,22,106,1.131,1.062,0.821
chronos_2_full,platinum_fut,22,106,1.0115,1.0048,
timesfm_25,platinum_fut,22,106,0.9443,0.9923,0.117
moirai2_small,platinum_fut,22,106,0.6666,0.8251,0.03
ar5_returns,corn_fut,1,106,0.9949,0.9999,0.215
lear_lite,corn_fut,1,106,1.0008,1.0001,0.604
garch_t,corn_fut,1,106,1.0024,1.0009,0.623
qr_ar,corn_fut,1,106,1.0222,1.0161,0.904
