series,h,model,regime,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
silver_fut,5,garch_t,ukraine,0.1069,0.05,131,0.009,0.0,0.0
silver_fut,5,qr_ar,ALL,0.0535,0.05,2804,0.4009,0.0,0.0
silver_fut,5,qr_ar,covid,0.0889,0.05,135,0.0604,0.0,0.0
silver_fut,5,qr_ar,ukraine,0.1527,0.05,131,0.0,0.0,0.0
silver_fut,5,chronos_2,ALL,0.0585,0.05,2804,0.0444,0.0,0.0
silver_fut,5,chronos_2,covid,0.0667,0.05,135,0.3968,0.0,0.0
silver_fut,5,chronos_2,ukraine,0.084,0.05,131,0.1025,0.0,0.0
silver_fut,5,chronos_2_lora,ALL,0.0613,0.05,2804,0.0077,0.0,0.0
silver_fut,5,chronos_2_lora,covid,0.0741,0.05,135,0.2295,0.0,0.0
silver_fut,5,chronos_2_lora,ukraine,0.0916,0.05,131,0.0491,0.0,0.0
silver_fut,5,chronos_2_full,ALL,0.0831,0.05,2804,0.0,0.0,0.0
silver_fut,5,chronos_2_full,covid,0.0741,0.05,135,0.2295,0.0,0.0
silver_fut,5,chronos_2_full,ukraine,0.1908,0.05,131,0.0,0.0,0.0
silver_fut,5,moirai2_small,ALL,0.0449,0.05,2804,0.2109,0.0,0.0
silver_fut,5,moirai2_small,covid,0.0741,0.05,135,0.2295,0.0,0.0
silver_fut,5,moirai2_small,ukraine,0.084,0.05,131,0.1025,0.0004,0.0005
silver_fut,22,garch_t,ALL,0.0346,0.05,2804,0.0001,0.0,0.0
silver_fut,22,garch_t,covid,0.1481,0.05,135,0.0,0.0,0.0
silver_fut,22,garch_t,ukraine,0.2137,0.05,131,0.0,0.0,0.0
silver_fut,22,qr_ar,ALL,0.0421,0.05,2804,0.0482,0.0,0.0
silver_fut,22,qr_ar,covid,0.1407,0.05,135,0.0001,0.0,0.0
silver_fut,22,qr_ar,ukraine,0.2748,0.05,131,0.0,0.0,0.0
silver_fut,22,chronos_2,ALL,0.0364,0.05,2804,0.0005,0.0,0.0
silver_fut,22,chronos_2,covid,0.1481,0.05,135,0.0,0.0,0.0
silver_fut,22,chronos_2,ukraine,0.1908,0.05,131,0.0,0.0,0.0
silver_fut,22,chronos_2_lora,ALL,0.0382,0.05,2804,0.0027,0.0,0.0
silver_fut,22,chronos_2_lora,covid,0.1481,0.05,135,0.0,0.0,0.0
silver_fut,22,chronos_2_lora,ukraine,0.1908,0.05,131,0.0,0.0,0.0
silver_fut,22,chronos_2_full,ALL,0.0571,0.05,2804,0.0931,0.0,0.0
silver_fut,22,chronos_2_full,covid,0.1556,0.05,135,0.0,0.0,0.0
silver_fut,22,chronos_2_full,ukraine,0.2443,0.05,131,0.0,0.0,0.0
silver_fut,22,moirai2_small,ALL,0.02,0.05,2804,0.0,0.0,0.0
silver_fut,22,moirai2_small,covid,0.1481,0.05,135,0.0,0.0,0.0
silver_fut,22,moirai2_small,ukraine,0.0916,0.05,131,0.0491,0.0,0.0
copper_fut,1,garch_t,ALL,0.0563,0.05,2805,0.1314,0.4708,0.2471
copper_fut,1,garch_t,covid,0.0741,0.05,135,0.2295,0.179,0.197
copper_fut,1,garch_t,ukraine,0.0916,0.05,131,0.0491,0.0872,0.0334
copper_fut,1,qr_ar,ALL,0.0578,0.05,2805,0.0656,0.2298,0.0893
copper_fut,1,qr_ar,covid,0.0741,0.05,135,0.2295,0.179,0.197
copper_fut,1,qr_ar,ukraine,0.1069,0.05,131,0.009,0.2151,0.0153
copper_fut,1,chronos_2,ALL,0.0342,0.05,2805,0.0001,0.0213,0.0
copper_fut,1,chronos_2,covid,0.0741,0.05,135,0.2295,0.179,0.197
copper_fut,1,chronos_2,ukraine,0.0153,0.05,131,0.0335,0.8026,0.1012
copper_fut,1,chronos_2_lora,ALL,0.0385,0.05,2805,0.0037,0.0794,0.0031
copper_fut,1,chronos_2_lora,covid,0.0815,0.05,135,0.1224,0.2645,0.1628
copper_fut,1,chronos_2_lora,ukraine,0.0305,0.05,131,0.272,0.6143,0.4818
copper_fut,1,chronos_2_full,ALL,0.0713,0.05,2805,0.0,0.1199,0.0
copper_fut,1,chronos_2_full,covid,0.0889,0.05,135,0.0604,0.08,0.037
copper_fut,1,chronos_2_full,ukraine,0.0382,0.05,131,0.5175,0.527,0.664
copper_fut,1,moirai2_small,ALL,0.0463,0.05,2805,0.3689,0.4202,0.4826
copper_fut,1,moirai2_small,covid,0.0444,0.05,135,0.7629,0.0164,0.0536
copper_fut,1,moirai2_small,ukraine,0.0992,0.05,131,0.0218,0.5203,0.0585
copper_fut,5,garch_t,ALL,0.0449,0.05,2805,0.2094,0.0,0.0
copper_fut,5,garch_t,covid,0.0519,0.05,135,0.9218,0.0,0.0
copper_fut,5,garch_t,ukraine,0.1221,0.05,131,0.0012,0.0,0.0
copper_fut,5,qr_ar,ALL,0.0581,0.05,2805,0.0544,0.0,0.0
copper_fut,5,qr_ar,covid,0.0519,0.05,135,0.9218,0.0,0.0
copper_fut,5,qr_ar,ukraine,0.2366,0.05,131,0.0,0.0,0.0
copper_fut,5,chronos_2,ALL,0.046,0.05,2805,0.3234,0.0,0.0
copper_fut,5,chronos_2,covid,0.0815,0.05,135,0.1224,0.0,0.0
copper_fut,5,chronos_2,ukraine,0.0992,0.05,131,0.0218,0.0002,0.0001
copper_fut,5,chronos_2_lora,ALL,0.0488,0.05,2805,0.7775,0.0,0.0
copper_fut,5,chronos_2_lora,covid,0.0815,0.05,135,0.1224,0.0,0.0
copper_fut,5,chronos_2_lora,ukraine,0.0992,0.05,131,0.0218,0.0002,0.0001
copper_fut,5,chronos_2_full,ALL,0.0742,0.05,2805,0.0,0.0,0.0
copper_fut,5,chronos_2_full,covid,0.1037,0.05,135,0.0118,0.0,0.0
copper_fut,5,chronos_2_full,ukraine,0.0992,0.05,131,0.0218,0.0002,0.0001
copper_fut,5,moirai2_small,ALL,0.0488,0.05,2805,0.7775,0.0,0.0
copper_fut,5,moirai2_small,covid,0.0593,0.05,135,0.6311,0.0,0.0
copper_fut,5,moirai2_small,ukraine,0.1679,0.05,131,0.0,0.0,0.0
copper_fut,22,garch_t,ALL,0.0535,0.05,2805,0.4033,0.0,0.0
copper_fut,22,garch_t,covid,0.1407,0.05,135,0.0001,0.0,0.0
