series,h,model,gw_stat,gw_p
platinum_fut,1,chronos_2_full,5.4,0.0672
platinum_fut,1,timesfm_25,3.69,0.1579
platinum_fut,1,moirai2_small,3.01,0.2221
platinum_fut,5,ar5_returns,1.26,0.5332
platinum_fut,5,lear_lite,2.05,0.3585
platinum_fut,5,garch_t,5.48,0.0647
platinum_fut,5,qr_ar,2.07,0.355
platinum_fut,5,chronos_bolt_small,10.39,0.0055
platinum_fut,5,chronos_bolt_base,4.8,0.0906
platinum_fut,5,chronos_2,3.76,0.1526
platinum_fut,5,chronos_2_lora,2.83,0.2428
platinum_fut,5,chronos_2_full,1.63,0.4416
platinum_fut,5,timesfm_25,10.0,0.0067
platinum_fut,5,moirai2_small,6.27,0.0436
platinum_fut,22,ar5_returns,6.22,0.0446
platinum_fut,22,lear_lite,4.02,0.134
platinum_fut,22,garch_t,2.64,0.2675
platinum_fut,22,qr_ar,2.22,0.3298
platinum_fut,22,chronos_bolt_small,13.03,0.0015
platinum_fut,22,chronos_bolt_base,7.38,0.0249
platinum_fut,22,chronos_2,3.3,0.1922
platinum_fut,22,chronos_2_lora,3.23,0.1991
platinum_fut,22,chronos_2_full,6.98,0.0305
platinum_fut,22,timesfm_25,3.08,0.2144
platinum_fut,22,moirai2_small,5.56,0.0622
corn_fut,1,ar5_returns,3.64,0.1619
corn_fut,1,lear_lite,4.14,0.1263
corn_fut,1,garch_t,1.38,0.5025
corn_fut,1,qr_ar,3.68,0.1589
corn_fut,1,chronos_bolt_small,50.25,0.0
corn_fut,1,chronos_bolt_base,42.3,0.0
corn_fut,1,chronos_2,27.74,0.0
corn_fut,1,chronos_2_lora,23.19,0.0
corn_fut,1,chronos_2_full,30.96,0.0
corn_fut,1,timesfm_25,10.44,0.0054
corn_fut,1,moirai2_small,19.63,0.0001
corn_fut,5,ar5_returns,11.13,0.0038
corn_fut,5,lear_lite,6.84,0.0327
corn_fut,5,garch_t,9.55,0.0084
corn_fut,5,qr_ar,14.08,0.0009
corn_fut,5,chronos_bolt_small,6.36,0.0417
