target_date,origin_date,actual,origin_price,q05,q10,q25,q50,q75,q90,q95
2023-04-10,2023-04-06,1989.0999755859373,2011.9000244140625,1987.69677734375,1987.69677734375,1999.9864501953125,2012.8438720703125,2025.58740234375,2037.629638671875,2037.629638671875
2023-04-11,2023-04-10,2004.800048828125,1989.0999755859373,1967.6251220703125,1967.6251220703125,1980.41162109375,1993.81640625,2007.14501953125,2019.6568603515625,2019.6568603515625
2023-04-12,2023-04-11,2010.9000244140625,2004.800048828125,1980.609375,1980.609375,1993.55078125,2007.1077880859375,2020.497802734375,2033.3101806640625,2033.3101806640625
2023-04-13,2023-04-12,2041.300048828125,2010.9000244140625,1990.0,1990.0,2002.398681640625,2015.6854248046875,2028.86083984375,2041.79443359375,2041.79443359375
2023-04-14,2023-04-13,2002.199951171875,2041.300048828125,2017.936767578125,2017.936767578125,2032.8294677734375,2049.45703125,2065.950927734375,2082.87548828125,2082.87548828125
2023-04-17,2023-04-14,1994.199951171875,2002.199951171875,1985.340576171875,1985.340576171875,1999.0145263671875,2013.5609130859375,2028.156982421875,2042.520751953125,2042.520751953125
2023-04-18,2023-04-17,2007.4000244140625,1994.199951171875,1977.58935546875,1977.58935546875,1991.7991943359375,2006.6866455078125,2021.7662353515625,2036.499267578125,2036.499267578125
2023-04-19,2023-04-18,1995.199951171875,2007.4000244140625,1987.5394287109375,1987.5394287109375,2001.3817138671875,2016.176025390625,2031.056396484375,2045.6959228515625,2045.6959228515625
2023-04-20,2023-04-19,2007.5999755859373,1995.199951171875,1973.0660400390625,1973.0660400390625,1987.049072265625,2001.98291015625,2017.118896484375,2031.936279296875,2031.936279296875
2023-04-21,2023-04-20,1979.5,2007.5999755859373,1988.128173828125,1988.128173828125,2001.56787109375,2015.9847412109375,2030.7696533203125,2045.50146484375,2045.50146484375
2023-04-24,2023-04-21,1989.0999755859373,1979.5,1959.96044921875,1959.96044921875,1974.7080078125,1990.335693359375,2006.45703125,2022.2879638671875,2022.2879638671875
2023-04-25,2023-04-24,1994.0,1989.0999755859373,1968.070068359375,1968.070068359375,1982.2833251953125,1997.35791015625,2012.7216796875,2027.7640380859375,2027.7640380859375
2023-04-26,2023-04-25,1985.699951171875,1994.0,1972.8983154296875,1972.8983154296875,1985.86669921875,1999.723876953125,2013.737060546875,2027.368896484375,2027.368896484375
2023-04-27,2023-04-26,1989.9000244140625,1985.699951171875,1968.1304931640625,1968.1304931640625,1980.0260009765625,1992.6390380859375,2005.863525390625,2019.0374755859375,2019.0374755859375
2023-04-28,2023-04-27,1990.0999755859373,1989.9000244140625,1970.94970703125,1970.94970703125,1983.307861328125,1996.5147705078125,2010.5235595703125,2024.3953857421875,2024.3953857421875
2023-05-01,2023-04-28,1983.4000244140625,1990.0999755859373,1973.9976806640625,1973.9976806640625,1986.275390625,1999.6318359375,2013.87939453125,2027.998291015625,2027.998291015625
2023-05-02,2023-05-01,2014.300048828125,1983.4000244140625,1963.6416015625,1963.6416015625,1975.634521484375,1988.7244873046875,2002.70361328125,2016.5328369140625,2016.5328369140625
2023-05-03,2023-05-02,2028.5999755859373,2014.300048828125,1991.8892822265625,1991.8892822265625,2004.1395263671875,2017.8837890625,2032.3836669921875,2047.2008056640625,2047.2008056640625
2023-05-04,2023-05-03,2048.0,2028.5999755859373,2003.556884765625,2003.556884765625,2015.917236328125,2029.80859375,2044.467529296875,2059.412841796875,2059.412841796875
2023-05-05,2023-05-04,2017.4000244140625,2048.0,2022.5574951171875,2022.5574951171875,2035.281005859375,2049.81103515625,2064.87109375,2080.1376953125,2080.1376953125
2023-05-08,2023-05-05,2026.300048828125,2017.4000244140625,1995.9508056640625,1995.9508056640625,2008.392578125,2022.4527587890625,2037.426513671875,2052.680419921875,2052.680419921875
2023-05-09,2023-05-08,2036.199951171875,2026.300048828125,2006.641845703125,2006.641845703125,2019.28515625,2033.3150634765625,2048.145751953125,2063.376953125,2063.376953125
2023-05-10,2023-05-09,2030.5,2036.199951171875,2015.8017578125,2015.8017578125,2028.60107421875,2042.58544921875,2057.116943359375,2072.10107421875,2072.10107421875
2023-05-11,2023-05-10,2014.699951171875,2030.5,2011.1497802734375,2011.1497802734375,2023.647705078125,2037.39111328125,2051.70947265625,2066.42919921875,2066.42919921875
2023-05-12,2023-05-11,2014.5,2014.699951171875,1997.0030517578125,1997.0030517578125,2009.999267578125,2024.30810546875,2039.3870849609375,2054.619384765625,2054.619384765625
2023-05-15,2023-05-12,2018.0,2014.5,1999.805908203125,1999.805908203125,2012.21240234375,2025.9483642578125,2040.634521484375,2055.448974609375,2055.448974609375
2023-05-16,2023-05-15,1988.4000244140625,2018.0,2002.8612060546875,2002.8612060546875,2014.9189453125,2028.059814453125,2042.0479736328125,2056.53564453125,2056.53564453125
2023-05-17,2023-05-16,1980.699951171875,1988.4000244140625,1969.9066162109375,1969.9066162109375,1983.617431640625,1998.503173828125,2014.403564453125,2030.252685546875,2030.252685546875
2023-05-18,2023-05-17,1956.5,1980.699951171875,1962.86328125,1962.86328125,1975.7860107421875,1990.2081298828125,2005.8682861328125,2021.1876220703125,2021.1876220703125
2023-05-19,2023-05-18,1978.699951171875,1956.5,1943.2919921875,1943.2919921875,1956.761474609375,1971.86962890625,1988.5057373046875,2004.4339599609375,2004.4339599609375
2023-05-22,2023-05-19,1974.800048828125,1978.699951171875,1962.445068359375,1962.445068359375,1975.02734375,1989.0225830078125,2004.1583251953125,2018.601318359375,2018.601318359375
2023-05-23,2023-05-22,1972.4000244140625,1974.800048828125,1959.6346435546875,1959.6346435546875,1971.875,1985.4884033203125,2000.191162109375,2014.0484619140625,2014.0484619140625
2023-05-24,2023-05-23,1962.800048828125,1972.4000244140625,1953.117919921875,1953.117919921875,1964.3951416015625,1977.03857421875,1990.8489990234375,2003.7159423828125,2003.7159423828125
2023-05-25,2023-05-24,1943.0999755859373,1962.800048828125,1948.7716064453125,1948.7716064453125,1960.13671875,1973.0723876953125,1987.47119140625,2000.898193359375,2000.898193359375
2023-05-26,2023-05-25,1944.0999755859373,1943.0999755859373,1924.6505126953125,1924.6505126953125,1936.915283203125,1950.54150390625,1965.593994140625,1979.294921875,1979.294921875
